from,to
rrq,return receipt requested
rrr,har har har instead of lol
rsn,real soon now
rsp,respawn
rspct,respect
rsps,runescape private server
rsvp,rpondez s'il vous plat
rt,retweet
rta,read the article
rtard,retard
rtb,returning to base
rtbm,read the bloody manual
rtbq,read the blinking question
rtbs,reason to be single
rtf,return the favor
rtfa,read the fuck article
rtfaq,read the faq
rtff,read the fucking faq
rtffp,read the fuck front page
rtfm,read the fuck manual
rtfmfm,read the fuck manual fuck moron
rtfmm,read the fuck manual moron
rtfms,read the fuck manual stupid
rtfp,read the fuck post
rtfq,read the fuck question
rtfs,read the fuck summary
rtfu,ready the fuck up
rtg,ready to go
rth,release the hounds
rtk,return to keyboard
rtl,report the loss
rtm,read the manual
rtr,read the rules
rtry,retry
rts,real-time strategy
rtsm,read the silly manual
rtss,read the screen stupid
rttsd,right thing to say dude
rtwfq,read the whole fucking question
ru,are you
ru/18,are you over 18
ru18,are you 18
ru\\18,are you under 18
rua,are you alone
ruabog,are you a boy or girl
ruagoab,are you a girl or a boy
rubz2nt,are you busy tonight
rufkm,are you fuck kidding me
rugay,are you gay
rugta,are you going to answer
ruh,are you horny
ruk,are you ok?
rukm,are you kidding me
rul8,are you late
rumcymhmd,are you on medication cause you must have missed a dose
rumf,are you male or female
rumorf,are you male or female
runts,are you nuts
ruok,are you ok?
rur,are you ready
rus,are you serious
rusos,are you sos in trouble
rut,are you there
ruup4it,are you up for it
ruwm,are you watching me
rwb,rich white bitch
rx,regards
ryfm,read your friendly manual
ryo,roll your own
rys,are you single
ryt,right
ryte,right
s,nan
s'ok,it's okay
s'pose,suppose
s'up,what is up
s***,suck
s**ks,suck
s**t,shit
s*cks,suck
s.i.n.g.l.e,"stay intoxicated nightly, get laid everyday."
s.i.t.,stay in touch
s.o.a.b.,son of a bitch
s.o.b.,son of a bitch
s.o.s.,sos
s.w.a.k.,sealed with a kiss
s/b,should be
s2a,sent to all
s2bu,sucks to be you
s2g,swear to god
s2r,send to receive
s2u,same to you
s2us,speak to you soon
s3<==8,screwed in the ass
s3x,sex.
s4b,shit for brains
s4l,spam for life
s4se,sight for sore eyes
s8ter,skater
s^,whats up
sab,slap a bitch
sadad,suck a dick and die
safm,stay away from me
sagn,spelling and grammar nazi
sah,sexy as hell
sahm,stay at home mom
saia,stupid asses in action
sanm,starting a new message
sapfu,surpassing all previous foul ups
sase,self addressed stamped envelope
sb,stand by
sbc,sorry bout caps
sbcg4ap,strongbads cool game for attractive people
sbd,silent but deadly
sbi,sorry bout it
sblai,stop babbaling like an idiot
sbrd,so bored
sbs,such bull shit
sbt,sorry bout that
sbta,sorry
sbug,small bald unaudacious goal
sc,stay cool
scnr,"sorry, i couldn't resist"
scool,school
scotus,supreme court of the united states
scrilla,money
scrt,secret
scuicht,so coked up i can hardly type
scurred,scared
sd,suck dick
sdf^,shut da fuck up
sdfb,smoke dope fuck btches
sdk,software development kit
sdlc,software development life cycle
sec,second
secks,sex
secksea,sexy
secksy,sexy
sed,said
see through your eyes,stye
seg,shit eatin grin
seks,sex
selfie,a picture of yourself
sellin,selling
seo,search engine optimization
sep,somebody elses problem
serp,search engine results page
sete,smiling ear to ear
sewag,scientifically engineered wild ass guess
sex,sex
sexc,sexy
sexe,sexy
sexi,sexy
sexii,sexy
sexilicious,very sexy
sexx0rz,sex
sez,says
sf,science fiction
sfaiaa,so far as i am aware
sfam,sister from another mother
sfb,shit for brains
sfe,safe
sfete,smiling from ear to ear
sfh,so fuck hot
sfipmp,so funny i peed my pants
sfla,stupid four letter acronym
sflr,sorry for late reply
sfm,so fuck much
sfp,sorry for partying
sfr,so fuck random
sfs,so fuck stupid
sfsg,so far so good
sftbc,sorry for the broad cast
sfttm,stop fucking talking to me
sfu,shut the fuck up
sfw,safe for work
sfwuz,safe for work until zoomed
sfx,sound effects
sfy,speak for yourself
sg,so good
sgb,straight/gay/bisexual
sgbadq,search google before asking dumb questions
sgi,still got it
sgtm,slightly gigling to myself
sh,shit happens
sh^,shut up
shag,fuck
shawty,girl
shb,should have been
shd,should
shexi,sexy
shexy,sexy
shhh,quiet
shiat,shit
shid,slap head in disgust
shiet,shit
shit,sugar honey ice tea
shite,shit
shiz,shit
shizit,shit
shiznat,shit
shiznit,shit
shizz,shit
shizzle,shit
shld,should
shmexy,sexy
shmily,see how much i love you
sho,sure
sho'nuff,sure enough
showin,showing
shrn,so hot right now
sht,shit
shtf,shit hits the fan
shud,should
shuddup,shut up
shup,shut up
shure,sure
shut^,shut up
shwaslomf,sitting here with a straight look on my face
shwr,shower
shyat,shit
shyt,shit
sia,say it again
siao,school is almost over
sibir,sibling in room
sic,said in context
sicl,sitting in chair laughing
sics,sitting in chair snickering
sif,as if
sifn't,as if not
sig,signature
siggy,signature
sii,seriously impaired imagination
sil,sisterinlaw
silf,sister i'd like to fuck
simcl,sitting in my chair laughing
simclmao,sitting in my chair laughing my ass off
sin,stop it now
siol,shout it out loud
sip,skiing in powder
sis,sister
sista,sister
sit,stay in touch
sitb,sex in the but
sitcom,single income
sitd,sitting in the dark
sitmf,say it to my face
situbi,say it til you believe it
siu,suck it up
siup,suck it up pussy
siuya,shove it up your ass
siy,search inside yourself
sj,strong jaws
sk,spawn kill
sk8,skate
sk8er,skater
sk8ing,skating
sk8r,skater
sk8ter,skater
sk8tr,skater
skb,should know better
sked,schedule
skeet,ejaculate
skewl,school
skhool,school
skillz,skills
skl,school
sknkr,skincare
skool,school
skoul,school
sktr,skater
skwl,school
sl,second life
sl4n,so long for now
sl^t,shit
slap,sounds like a plan
slaw,sounds like a winner
sleepin,sleeping
sleepn,sleeping
slf,sexy little fuck
slgb,straight/lesbian/gay/bisexual
slirk,smart little rich kid
slm,see last mail
slng,slang
slo,slow
slom,sticking leeches on myself
slore,slutty whore
slos,someone looking over shoulder
slp,sleep
slt,something like that
sm,social media
sm1,someone
smaim,send me an instant message
smao,sweating my ass off
smart,selfmonitoring
smb,see my blog
smbd,suck my big dick
smbt,suck my big toe
smc,suck my c**k
smd,suck my dick
smdb,suck my dick bitch
smdvq,suck my dick quickly
sme,subject matter expert
smeg,fuck
smem,send me email
smexy,sexy
smf,stupid motherfucker
smfd,suck my fuck dick
smfpos,stupid mother fuck piece of shit
smh,shaking my head
smhb,suck my hairy balls
smho,screaming my head off
smim,send me an instant message
smithwaws,smack me in the head with a wooden spoon
smofo,stupid mother fuck
smop,small matter of programming
smst,somebody missed snack time
smt,suck my tits
smthin,something
smthng,something
smtm,sometime
smto,sticking my tongue out
smtoay,sticking my tongue out at you
sn,screen name
snafu,situation normal all fuck up
snafubar,situation normal all fuck up beyond any recognition
snag,sensitive new age guy
snert,snotty nosed egotistical rotten teenager
snes,super nintendo entertainment system
snew,what's new
snf,so not fair
snif,simple nice index file
snl,saturday night live
snm,say no more
snnshwrs,sun showers
snny,sunny
snog,kiss
snogged,kissed
so,significant other
soa,service oriented architecture
soab,son of a btch
soad,system of a down
soafb,son of a fuck bitch
sob,son of a bitch
sobs,"same, old, boring shit"
sobt,stressed out big time
soc,same old crap
soddi,some other dude did it
soe,service oriented enterprise
sof,smile on face
sofas,stepping out for a smoke
sofs,same old fuck shit
sogop,shit or get off the pot
soh,sense of humor
sohf,sense of humor failure
soi,service oriented infrastructure
soiar,sit on it and rotate
soic,so i see
sok,it's ok
sokay,it's okay
sol,shit outta luck
solomo,social
som'm,something
som1,someone
somadn,sitting on my ass doing nothing
some1,someone
somf,sit on my face
soml,story of my life
somy,sick of me yet
soo,so
soobs,saggy boobs
sool,shit out of luck
sooya,snake out of your ass
sop,same old place
sorg,straight or gay
sorreh,sorry
sorta,sort of
sos,same old shit
sosad,same old song and dance
sosdd,same old shit different day
sosg,spouse over shoulder gone
sot,suck on this
sotc,stupid off topic crap
sotmg,short on time
sotr,sex on the road
sow,statement of work
sowi,sorry
sowwy,sorry
soz,sorry
spk,speak
spk2ul8r,speak to you later
sploits,exploits
sploitz,exploits
spoc,single point of contact
spos,stupid peace of shit
sprm,sperm
sqtm,snickering quietly to myself
srch,search
srlb,spoiled rotten little brat
srly,seriously
sro,standing room only
sroucks,"that's cool, but it still sucks"
srry,sorry
srs,serious
srsly,seriously
srvis,service
sry,sorry
srynd2g,sorry need to go
srzly,seriously
ss,screenshot
ss4l,smoking sista for life
ssa,ass backwards
ssc,super sexy cute
ssdd,same shit different day
ssdp,same shit different pile
ssewba,someday soon
ssia,subject says it all
ssl,secure sockets layer
ssob,stupid sons of bitches
ssry,so sorry
sssd,same shit same day
st,stop that
st1,stoned
st8,state
sta,short term attitude
starfu*k,fuck
stb,soon to be
stbm,sucks to be me
stbx,soon to be ex
stby,sucks to be you
std,sexually transmitted disease
steamloller,laughing. alot.
stfd,sit the fuck down
stff,stuff
stfm,search the fuck manual
stfng,search the fuck news group
stfu,shut the fuck up
stfua,shut the fuck up already
stfuah,shut the fuck up asshole
stfub,shut the fuck up bitch
stfuda,shut the fuck up dumb ass
stfugbtw,shut the fuck up and get back to work
stfun,shut the fuck up nigger
stfuogtfo,shut the fuck up or get the fuck out.
stfuppercut,shut the fuck up
stfuyb,shut the fuck up you bitch
stfuysoab,shut the fuck up you son of a bitch
stfw,search the fuck web
stg,swear to god
sth,something
sthing,something
sthu,shut the hell up
stm,smiling to myself
stml,short term memory loss
stoopid,stupid
stpd,stupid
stppynozgtw,stop picking your nose
str8,straight
str8up,straight up
sts,so to speak
stsp,same time same place
stst,sweet tea sweetie
stt,same time tomorrow
stufu,stupid fuck
stupd,stupid
stw,share the wealth
stys,speak to you soon
su,shut up
sua,see you at
suabq,shut up and be quiet
suac,shit up a creek
suagooml,shut up and get out of my life
suakm,shut up and kiss me
sub,shut up bitch
sufi,shut up fucking imbecile
sufid,screwing up face in disgust
suib,shut up im busy
suk,suck
suka,sucker
sukz,sucks
sul,see you later
sum1,someone
sumfin,something
summin,something
sumone,someone
sumthin',something
sumtin,something
sup,what's up
supa,super
supposably,supposedly
sus,see you soon
susfu,"situation unchanged, still fuck up"
sut,see you tomorrow
sutuct,so you think you can type
sux,sucks
sux0rz,sucks
sux2bu,sucks to be you
suxor,sucks
suxors,sucks
suxorz,sucks
suxx,sucks
suxxor,sucks
suyah,shut up you ass hole!
suyf,shut up you fool
svn,seven
svu,special victims unit
sw,so what
swafk,sealed with a friendly kiss
swag,scientific wild ass guess
swak,sealed with a kiss
swakaah,sealed with a kiss and a hug
swalbcakws,sealed with a lick because a kiss wont stick
swalk,sealed with a loving kiss
swdyt,so what do you think
sweet<3,sweetheart
swf,single white female
swim,see what i mean
swis,see what im saying
swit,sit and sweat
swl,screaming with laughter
swm,single white male
swmbo,she who must be obeyed
swmt,stop wasting my time
swp,sorry wrong person
swsw2b,single when she wants to be
swt,sweet
swtf,"seriously, what the fuck"
swu,so whats up
swyp,so whats your problem
sx,sex
sxc,sexy
sxcy,sexy
sxe,straight edge
sxi,sexy
sxs,sex
sxy,sexy
sya,see you again.
syatp,see you at the party
sydim,stick your dick in me
sydlm,shut your dirty little mouth
syfm,shut your fuck mouth
syiab,see you in a bit
syiaf,see you in a few
syk,so you know
syl,see you later
syl8r,see you later
sym,shut your mouth
syoa,save your own ass
syotbf,see you on the battlefield
syrs,see ya real soon
sys,see you soon
sysop,system operator
syt,see you there
sytycd,so you think you can dance
syu,sex you up
sz,sorry
t#3,the
t&c,terms conditions
t+,think positive
"t,ftfy","there, fixed that for you"
t.t.y.l,talk to you later
t/a,try again
t2b,time to blunt
t2go,time to go
t2m,talk to me
t2u,talking to you
t2ul,talk to you later
t2ul8r,talk to you later
t2ut,talk to you tomorrow
t3h,the
t4a,thanks for asking
t4m,transgender for male
t8st,taste
t@yl,talk at you later
ta,thanks again
tabom,thats a bunch of malarkey
tabooma,take a bite out of my ass
taci,that's a crappy idea
taf,thats all
tafn,that's all for now
tah,take a hike
tahitmots,theres a hole in the middle of the sea
taht,that
tai,think about it
taig,that's all i got.
taks,thats a knee slapper
tal,thanks a lot
talkin,talking
tam,thanks a million
tanj,there aint no justice
tanq,thank you
tansit,theres a new sheriff in town
tanstaafl,there ain't no such thing as a free lunch
tap,take a pill
tard,retard
tarfu,things are really fuck up
tas,taking a shower
tat,that
tat2,tattoo
tau,thinking about you
taunch,te amo un chingo
taw,teachers are watching
tay,thinking about you
tayn,thinking about you now
tb,text back
tb4u,too bad for you
tba,to be anounced
tbc,to be continued to be confirmed
tbd,to be decided
tbe,thick between ears
tbf,to be fair
tbfh,to be fuck honest
tbfu,too bad for you
tbh,to be honest
tbhimo,to be honest in my opinion
tbiu,the bitch is ugly
tbnt,thanks but no thanks
tbp,the pirate bay
tbpfh,to be perfectly fuck honest
tbph,to be perfectly honest
tbqf,to be quite frank
tbqh,to be quite honest
tbss,too bad so sad
tbt,throwback thursday twitterother social media sites
tbtfh,to be totally freaking honest
tbu,thinking bout you
tbvh,to be very honest
tbya,think before you act
tbyb,try before you buy
tc,take care
tcb,take care of business
tcfc,too close for comfort
tcfm,too cool for me
tcg,trading card game
tchbo,topic creater has been owned
tcial,the cake is a lie
tcob,taking care of business
tcoy,take care of yourself
tcp,transmission control protocol
tcp/ip,transmission control protocol/internet protocol
td&h,tall
td2m,talk dirty to me
tddup,till death do us part
tdf,to die for
tdl,too damn lazy
tdm,too darn many
tdtm,talk dirty to me
tdtml,talk dirty to me later
tdwdtg,the devil went down to georgia
te,team effort
teh,the
teotwawki,the end of the world as we know it
terd,shit
tf,too funny
tf2,team fortress 2
tfa,the fuck article
tfb,time for bed
tfbundy,totaly fuck but unfortunatly not dead yet
tfc,team fortress classic
tfd,total fuck disaster
tfds,thats for darn sure
tff,that's fuck funny
tfft,thank fuck for that
tffw,too funny for words
tfh,thread from hell
tfic,tongue firmly in cheek
tfiik,the fuck if i know
tfl,thanks for looking
tflms,thanks for letting me share
tfln,thanx for last night
tfm,too fuck much
tfmiu,the fucking manual is unreadable
tfn,til further notice
tfs,thanks for sharing
tfta,thanks for the add
tftc,thanks for the cache
tftf,thanks for the follow twitter
tfthaot,thanks for the help ahead of time
tfti,thanks for the information
tftt,thanks for the thought
tftu,thanks for the update
tfu,that's fuck up
tfu2baw,time for you to buy a watch
tfw,that feeling when
tfx,traffic
tfys,the fuck you say
tg,thank god
tg4a,thank god for acronyms
tgal,think globally
tgfe,together forever
tgfitw,the greatest fans in the world
tgft,thank god for that
tgfu,too good for you
tgfuap,thank god for unanswered prayers
tggtg,that girlguy has got to go
tghig,thank god husband is gone
tgif,thank god it's friday
tgiff,thank god its fuck friday
tgis,thank god it's saturday
tgiwjo,thank god it was just once
tgsttttptct,thank god someone took the time to put this crap together
tgtbt,too good to be true
tgwig,thank god wife is gone
tgws,that goes without saying
th4nk5,thanks
th@,that
tha,the
thankies,thank you
thankx,thank you
thanq,thank you
thanx,thank you
thar,there
thatz,that's
thks,thanks
thku,thank you
thn,then
thnk,think
thnx,thanks
tho,though
thot,the hoe of today
thr,there
thr4,therefore
thru,through
tht,that
thwdi,thats how we do it
thwy,the hell with you!
thx,thank you
thxx,thanks
thz,thank you
ti2o,that is too obious
tia,thanks in advance
tiafayh,thanks in advance for all your help
tiai,take it all in
tiail,think i am in love
tias,try it and see
tiatwtcc,this is a trap word to catch copiers
tic,tongue in cheek
tif,this is fun
tif2m,this is fuck 2 much
tifs,this is funny shit
tifu,that is fuck up
tigas,think i give a shit
tigger,tiger
tiic,the idiots in control
til,until
tilf,teenager i'd like to fuck
tilii,tell it like it is
time,tears in my eyes
tinf,this is not fair
tingtes,there is no gravity
tinla,this is not legal advice
tinstaafl,there is no such thing as a free lunch
tinwis,that is not what i said
tioli,take it or leave it
tis,is
tisc,that is so cool
tisfu,that is so fuck up
tisg,this is so gay
tisl,this is so lame
tisly,that is so last year
tisnc,this is so not cool
tisnf,that is so not fair
tisnt,that is so not true
tiss,this is some shit
tisw,that is so wrong
tiw,teacher is watching
tix,tickets
tjb,thats just boring
tjbnj,this job beats no job
tk,team kill
tk2ul,talk to you later
tkd,tae kwon do
tker,team killer
tko,technical knock out
tks,thanks
tku,thank you
tku4uk,thank you for your kindness
tl,tough luck
"tl,dr",too long; didn't read
tl8r,talk later
tl:dr,too long; didn't read
tl; dr,to long; didn't read
tl;dr,too long; didn't read
tla,three letter acronym
tlc,tender love and care
tld,told
tldnr,"too long, did not read"
tldr,"too long, didn't read."
tlgo,the list goes on
tlitbc,thats life in the big city
tliwwv,this link is worthless without video
tlk,talk
tlk2me,talk to me
tlk2ul8r,talk to you later
tlkin,talking
tlkn,talking
tltpr,too long to proof read.
tlyk,to let you know
tm,trust me
tma,take my advice
tmaai,tell me all about it
tmai,tell me about it
tmalss,to make a long story short
tmb,tweet me back
tmbi,tell me about it
tmi,too much information
tmk,to my knowledge
tml,tell me later
tmmrw,tomorrow
tmnt,teenage mutant ninja turtles
tmo,take me out
tmoro,tomorrow
tmot,trust me on this
tmoz,tomorrow
tmp,text my phone
tmr,tomorrow
tmr@ia,the monkeys are at it again
tmrrw,tomorrow
tmrw,tomorrow
tmrz,tomorrow
tms,that makes sense
tmsaisti,that's my story and i'm sticking to it.
tmsg,tell me something good
tmsgo,too much shit going on
tmsidk,tell me somthing i don't know
tmth,too much to handle
tmtmo,text me tomorrow
tmtowtdi,theres more than one way to do it
tmtoyh,too much time on your hands
tmtt,tell me the truth
tmw,too much work
tmwfi,take my word for it
tmz,tomorrow
tn1,trust no-one
tna,tits and ass
tnc,totally not cool
tnf,that's not funny
tnlnsl,took nothing left nothing signed log
tnt,til next time
tntl,trying not to laugh
tnx,thanks
tnxz,thanks
tob,teacher over back
tobal,there oughta be a law
tobg,this oughta be good
tofy,thinking of you
togtfooh,tits or get the fuck out of here
toh,typing one handed
tok,that's ok
tok2ul8r,i'll talk to you later
tolol,thinking of laughing out loud
tom,tomorrow
tomm,tommorow
tomoro,tommorrow
tomoz,tomorrow
tomtb,taking off my training bra
tonite,tonight
toon,short for cartoon
topca,til our paths cross again
tos,terms of service
tot,tons of time
totd,tip of the day
totes,totally
totl,total
totm,top of the morning
totp,talking on the phone
totpd,top of the page dance
tou,thinking of you
toy,thinking of you
toya,thinking of you always
tp,toilet paper
tpb,the pirate bay
tpc,the phone company
tpiwwp,this post is worthless without pictures
tpiyp,to put in your prayers
tps,test procedure specification
tpt,trailor park trash
tptb,the powers that be
tq,thank you
tqm,total quality management
tr***s,trolls
tram,the rest are mine
trani,transexual
tranny,transexual
trble,trouble
trd,tired
trdmc,tears running down my cheeks
tripdub,www
trndo,tornado
trnsl8,translate
trnsltr,translator
troll,person who diliberately stirs up trouble
troo,true
trp,television rating points
tru,true
ts,talking shit
tsb,tall
tsc,that's so cool
tsff,thats so fuck funny
tsh,too stinkin hot
tsia,this says it all
tsif,thank science its friday
tsig,that site is gay
tsm,thanks so much
tsnf,that's so not fair
tsob,tough son of a btch
tsr,totally stupid rules
tsra,two shakes of a rats ass
tss,that's so sweet
tstb,the sooner
tstoac,too stupid to own a computer
tswc,tell someone who cares
tt,big tease
tt4n,ta ta for now
tta,tap that ass
ttbc,try to be cool
ttbomk,to the best o fmy knowledge
ttc,text the cell
ttf,that\'s too funny
ttfaf,through the fire and flames
ttfn,ta-ta for now
ttg,time to go
tthb,try to hurry back
ttihlic,try to imagine how little i care
ttiot,the truth is out there
ttiuwiop,this thread is useless without pics
ttiuwop,this thread is useless without pics
ttiuwp,this thread is useless without pictures
ttiwwop,this thread is worthless without pics
ttiwwp,this thread is worthless without pics
ttksf,trying to keep a straight face
ttl,total
ttlly,totally
ttly,totally
ttm,talk to me
ttmf,ta ta mother fucker
ttml,talk to me later
ttmn,talk to me now
ttms,talking to myself
ttr,time to run
ttrf,"that's the rules, fuck"
tts,text to speech
ttt,to the top
ttth,talk to the hand
ttthtfal,talk to the hand the face aint listening
tttka,time to totally kick ass
tttt,to tell the truth
ttul,talk to you later
ttul8r,talk to you later
ttus,talk to you soon
ttut,talk to you tomorrow
ttutt,to tell you the truth
tty,talk to you
ttya,thanks to you all
ttyab,talk to you after breakfast
ttyad,talk to you after dinner
ttyal,talk to you after lunch
ttyas,talk to you at school
ttyawfn,talk to you a while from now
ttyiaf,talktype to you in a few
ttyiam,talk to you in a minute
ttyitm,talk to you in the morning
ttyl,talk to you later
ttyl2,talk to you later too
ttyl8r,talk to you later
ttylo,talk to you later on
ttylt,talk to you later today
ttyn,talk to you never
ttyna,talk to you never again
ttynl,talk to you never loser
ttynw,talk to you next week
ttyo,talk to you online
ttyob,tend to your own business
ttyotp,talk to you on the phone
ttyrs,talk to you really soon
ttys,talk to you soon
ttyt,talk to you tomorrow
ttytm,talk to you tomorrow
ttytt,to tell you the truth
ttyw,talk to you whenever
ttywl,talk to you way later
tu,thank you
tuff,tough
tuh,to
tut,take your time
tuvm,thank you very much
tv,television
tvm,thanks very much
tvm4yem,thank you very much for your email
tw,teacher watching
twajs,"that was a joke, son."
twat,vagina
twbc,that would be cool
twd,texting while driving
twdah,that was dumb as hell
tweet,twitter post
twf,that was funny
twfaf,thats what friends are for
twg,that was great
twhab,this wont hurt a bit
twhe,the walls have ears
twi,texting while intoxicated
twimc,to whom it may concern
twis,that's what i said
twit,thats what i thought
twita,thats what im talking about
twiwi,that was interesting
twoh,typing with one hand
tws2wa,that was so 2 weeks ago
twss,that's what she said
twsy,that was so yeterday
twtr,twitter
twttr,twitter
twu,thats whats up
twvsoy,that was very stupid of you
twyl,talk with you later
twys,talk with you soon
tx,thanks
txs,thanks
txt,text
txt im,text instant message
txt msg,text message
txting,texting
txtms,text me soon
txtyl,text you later
ty,thank you
tyclo,turn your caps lock off
tyclos,"turn your caps lock off, stupid"
tyfi,thank you for invite
tyfn,thank you for nothing
tyfyc,thank you for your comment
tyfyt,thank you for your time
tyg,there you go
tyl,text you later
tym,time
tyme,time
typ,thank you partner
typo,typing mistake
tyred,tired
tys,told you so
tysfm,thank you so fuck much
tysm,thank you so much
tyso,thank you so much
tysvm,thank you so very much
tyt,take your time
tyto,take your top off
tyty,thank you thank you
tyvm,thank you very much
tyvvm,thank you very very much
u,you
u iz a 304,you is a hoe
u up,are you up
u'd,you would
u'll,you will
u'r,you're
u'v,you have
u've,you've
u-l,you will
u/l,upload
u/n,username
u2,you too
u2c,unable to contact
u2u,up to you
u4e,yours forever
u4i,up for it
u8,you ate
ua,user agreement
uaaaa,universal association against acronym abuse
uat,user acceptance testing
uayor,use at your own risk
ub3r,super
uber,over
ubs,unique buying state
uctaodnt,you can't teach an old dog new tricks
ucwap,up a creek without a paddle
udc,you don't care
udek,you don't even know
udh82bme,youd hate to be me
udm,youre the man
uds,you dumb shit
udwk,you don't want to know
udy,you done yet
ufab,ugly fat ass bitch
ufb,unfbelievable
ufia,unsolicited finger in the anus
ufic,unsolicited finger in chili
ufmf,you funny mother fuck
ufn,until further notice
ufr,upon further review
ufuf,you fuck
ug2bk,youve got to be kidding
ugba,you gay bitch ass
ugc,usergenerated content
ugfsu,your girlfriends ugly
ugtr,you got that right
uhab,you have a blog
uhems,you hardly ever make sense
ui,user interface
ujds,u just did shit
ukr,you know right
ukwim,you know what i mean
ul,unlucky
ulbom,you looked better on myspace
umfriend,sexual partner
un2bo,you need to back off
un4rtun8ly,unfortunately
unf,universal noise of fucking
unoit,you know it
unpc,unpolitically correct
unt,until next time
untco,you need to chill out
uok,are you ok
uom,you owe me
upcia,unsolicited pool cue in anus
upia,unsolicited pencil in anus
upmo,you piss me off
upod,under promise over deliver
upos,you piece of shit
upw,unidentified party wound
ur,your
ur2g,you are too good
ur2k,you are too kind
ur6c,you're sexy
ura,you are a
uradrk,you're a dork
urafb,you are a fuck bitch
urapita,you are a pain in the ass
uraqt,you are a cutie
urcrzy,you are crazy
ure,you are
urg,you are gay
urht,you're hot
url,uniform resource locator
url8,you are late
urms,you rock my socks
urmw,you are my world
urnc,you are not cool
urs,yours
ursab,you are such a bitch
ursai,you are such an idiot
ursdf,you are so damn fine
ursg,you are so gay
ursh,you are so hot
urssb,you are so sexy baby
urstpid,you are stupid
urstu,you are stupid
urtb,you are the best
urtbitw,you are the best in the world!
urtrd,you retard
urtw,you are the worst
urw,you are weird
urws,you are wise
uryy4m,you are too wise for me
uryyfm,you are too wise for me
urz,yours
usc,up shit creek
usck,you suck
uscwap,up shit creek without a paddle
usd,united states dollar
usp,unique selling proposition
ussr,the union of soviet socialist republics
usuk,you suck
usux,you suck
ut,you there
uta,up the ass
utfs,use the fuck search
utfse,use the fuck search engine
utm,you tell me
uttm,you talking to me?
utube,youtube
utw,used to work
uty,it's up to you
uv,unpleasant visual
uve,you've
uvgtbsm,you have got to be shiting me
uw,you're welcome
uwc,you are welcome
uwiwu,you wish i was you
uwm,you want me
ux,user experience
uya,up your ass
uyab,up your ass bitch
v,very
v4g1n4,vagina
vag,vagina
vajayjay,vagina
vb,visual basic
vbeg,very big evil grin
vbg,very big grin
vbmg,very big mischievous grin
vbs,very big smile
vc,venture capital
vcda,vaya con dios
ve,have
veg,very evil grin
vf,very funny
vfe,virgins 4 ever
vff,verry fuck funny
vfm,value for money
vgg,very good game
vgh,very good hand
vgl,very good looking
vgn,video game nerd
vid,video
vids,videos
vim,very important member
vip,very important person
viv,very important visitor
vleo,very low earth orbit
vlog,video log
vm,voicemail
vn,very nice
vnc,virtual network computing
vnh,very nice hand
voip,voice over ip
vrbs,virtual reality bull shit
vrsty,varsity
vry,very
vs,versus
vsf,very sad face
vwd,very well done
vweg,very wicked evil grin
vwp,very well played
vzit,visit
vzn,verizon
w,with
w wult,what would you like to talk about
w's^,whats up
w'sup,what's up
w.b.s.,write back soon
w.e,whatever
w.e.,whatever
w.o.w,world of warcraft
w.o.w.,world of warcraft
w/,with
w/b,write back
w/e,whatever
w/end,weekend
w/eva,whatever
w/o,with out
w/out,without
w/r/t,with regard to
w/u,with you
w00t,woohoo
w012d,word
w2d,what to do
w2f,want to fuck
w2g,way to go
w2ho,want to hang out
w2m,want to meet
w33d,weed
w4m,women for men
w8,wait
w8am,wait a minute
w8ing,waiting
w8t4me,wait for me
w8ter,waiter
w9,wife in room
w911,wife in room
w@,what
w\e,whatever
wab,what a bitch
wabi,what a bright idea
waboc,what a bunch of crap
wabom,what a bunch of malarkey
waci,what a cool idea
wad,without a doubt
wad ^,what's up?
wadi,what a dumb idea
wadr,with all due respect
wadzup,what's up?
waef,when all else fails
waf,weird as fuck
wafb,what a fucking bitch
wafda,what a fuck dumb ass
wafl,what a fuck loser
wafm,wait a fuck minute
wafn,what a fuck noob
wafs,warm and fuzzies
wafu,what a fuck up
wag,wild ass guess
wah,working at home
wai,what an idiot
wak,what a kiss
waloc,what a load of crap
walstib,what a long strange trip it's been
wam,wait a minute
wambam,web application meets brick and mortar
wamh,with all my heart
wan2,want to
wan2tlk,want to talk
wana,want to
wanafuk,wanna fuck
wanker,masturbater
wanking,masturbating
wanna,want to
wansta,wanna be ganster
warez,illegally obtained software
was,what a slut
was^,what's up
wassup,what's up?
wasup,what's up
wat,what
wat's^,whats up
watcha,what are you
watev,whatever
wateva,whatever
watevr,whatever
watevs,whatever
wati,what a terrible idea
watn,where are they now
watp,we are the people
wats,whats
wats ^,whats up
wats^,what's up?
watz ^,what's up
wau,what about you
wau^2,what are you up to?
waug,where are you going
wauw,what are you wearing
waw,what a whore
wawi,what a wonderful idea
waycb,when are you coming back
wayd,what are you doing
wayf,where are you from
waygow,who are you going out with
wayh,why are you here
wayn,where are you now
waysttm,why are you still talking to me
waysw,why are you so weird
wayt,what are you thinking?
wayta,what are you talking about
wayut,what are you up to
waz,what is
waz ^,what's up
waz^,what's up?
wazup,what's up
wazz,what's
wazza,what's up
wazzed,drunk
wazzup,what's up
wb,write back
wbagnfarb,would be a good name for a rock band
wbb,will be back
wbbs,will be back soon
wbp,welcome back partner
wbrb,will be right back
wbs,write back soon
wbu,what about you
wby,what about you
wc,who cares
